trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
,,,,5,자동차 ,,,,,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
,,,,,,,,,,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
,,,,,,,,,,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
0,0,0,0,30,,,2.299767860007705,0.028806527455647712,0.02469134993023342,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
1,0,1,0,30,,용돈 ,6.032934660004685,0.6543209817674425,0.9444444974263508,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
2,0,2,0,30,,내일 일과 ,9.76568226001109,-0.028806527455647823,0.8580246501498752,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
3,0,3,0,30,,치과 가기 계획 ,17.316840560000855,-0.6213990847269694,0.845679071214464,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
4,0,4,0,30,,집 청소 ,6.532595560012851,-0.46502060360378694,0.9074073632558186,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
5,0,5,0,30,,끝나고 뭐 먹을지 ,8.782395860005636,0.5432098441653781,0.8765431510077583,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
6,0,6,0,30,,공부 계획 짜기 ,8.465867160033667,-0.2716048558553059,0.8806583881378174,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
7,0,7,0,30,,가전 종류 ,13.11655686001177,0.04526747597588443,0.9115226003858778,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
8,0,8,0,30,,외모 고민 ,5.481106860010186,-0.3086418575710721,0.8251028855641682,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
9,0,9,0,30,,김밥 먹기 ,20.147426960029406,0.7489711708492703,0.8786008358001709,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
10,0,10,0,30,,옆방 소음 ,12.849254460044904,-0.1481482717725966,0.6316872702704536,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
11,0,11,0,30,,참가비 지급 언제될지 ,22.93310176001978,0.06995889875623917,0.812757174173991,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
12,0,12,0,30,,남자친구에게 거짓말해서 죄책감느낌 ,20.699103560007643,-0.5144031842549642,0.9362140231662326,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
13,0,13,0,30,,열악한 법학구관 시설 ,15.299975960020674,-0.03703700171576607,0.4609053267372979,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
14,0,14,0,30,,5월 휴가 계획 ,7.098755660030292,0.7078189320034451,0.9032921261257596,106,001,2022-04-29_18h22.17.304,220304_word_end_click,2022.1.1,60.023865488961874,
