repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,checking_instructions.started,checking_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulus_interval,word_type_practice.text,text_4.started,text_4.stopped,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.84441339992918,None,space,0.9768050999846309,34.84441339992918,None,,,,,,,,,,,,,,,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,0,0,0,0,,,,,,,243.39496840001084,None,space,24.361530000111088,244.89858689997345,None,30,북극곰 ,304.65372049994767,None,오늘 새로 나온 모자를 살 생각  ,18.631011929828674,0.4855966567993164,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,1,0,1,0,,,,,,,,,,,,,30,,,,어제 자기전에 늦도록 핸드폰을 해서 눈이 아프다는 생각  ,24.080817729700357,-0.5679011344909668,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,2,0,2,0,,,,,,,,,,,,,30,,,,눈썹에 아토피가 자꾸 올라와서 피부과를 가봐야겠다는 생각  ,26.49760253005661,-0.26337438159518767,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,3,0,3,0,,,,,,,,,,,,,30,,,,오늘 해야할 과제와 실험 일정을 머릿속으로 정리하고 있었음  ,30.062688529957086,0.0,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,4,0,4,0,,,,,,,,,,,,,30,,,,"점심을 먹고 카페를 가서 과제를 할지, 아니면 바로 카페를 가서 과제를 할 지 생각하고 있었음  ",25.08153512980789,0.09876542621188689,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,5,0,5,0,,,,,,,,,,,,,30,,,,사고 싶은 운동화가 있는데 언제 쇼핑을 하러갈 지 생각하고 있었음,16.798377429600805,0.5967077944013808,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,6,0,6,0,,,,,,,,,,,,,30,,,,북극곰을 생각하지 말라고 하면 북극곰을 생각하는데 자유롭게 생각하라고 하면 자유롭게 생각을 못할까라는 생각,33.39448042982258,0.03703700171576596,0.9444444974263508,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,7,0,7,0,,,,,,,,,,,,,30,,,,어디 카페를 가서 공부할지 생각하고 있었음,13.344585629878566,0.13991766505771208,1.0,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,8,0,8,0,,,,,,,,,,,,,30,,,,키보드에 노란 스티커가 왜 붙어있을까 라는 생각  ,16.496247929986566,0.03703700171576596,0.9938272105322944,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,9,0,9,0,,,,,,,,,,,,,30,,,,버거킹 신메뉴가 맛있다는데 언제 먹어보지  ,15.198127530049533,0.19341561529371476,0.915637837515937,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,10,0,10,0,,,,,,,,,,,,,30,,,,"교우 관계에 신경을 쓰지 않는 나, 정상일까요  ",30.229912230046466,-0.4567901293436687,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,11,0,11,0,,,,,,,,,,,,,30,,,,사람들은 언제 마스크를 벗게 될까,13.809987530112267,0.14403290218777132,0.9629629982842339,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,12,0,12,0,,,,,,,,,,,,,30,,,,나중에 커서 어떤 일을 해야 할까  ,25.813110230024904,0.12757195366753482,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,13,0,13,0,,,,,,,,,,,,,30,,,,여름 방학에 갈 여행이 너무 기대된다  ,13.730312329949811,0.7613168822394476,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
,,,,14,0,14,0,,,,,,,,,,,,,30,,,,여행가기 전까지 운동을 엄청 열심히 해야지 ,12.830254829954356,0.7654321193695068,1,009,2022-05-10_10h21.07.601,220304_word_end_click,2022.1.1,61.02752032615901,
