target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
neutral,neutral,1,k,k,,,,,,,,,3,14,68,1,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.935490599978948,323.68433509999886,324.72941150001134,324.6810192000121,None,323.68433509999886,None,323.68433509999886,None,323.68433509999886,None,325.56251752999964,None,325.56251752999964,None,325.56251752999964,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,,,,,3,15,69,7,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.7581371999986004,325.6419891999976,326.67201020001085,326.6382389999926,None,325.6419891999976,None,325.6419891999976,None,325.6419891999976,None,327.32684632000166,None,327.32684632000166,None,327.32684632000166,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,,,,,3,16,70,17,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,l,l,1,0.9927535000024363,327.39996750000864,328.45146620000014,328.40281629998935,None,327.39996750000864,None,327.39996750000864,None,327.39996750000864,None,329.33552733000255,None,329.33552733000255,None,329.33552733000255,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,,,,,3,17,71,15,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.8932613999932073,329.4132513999939,330.4735868999851,330.4263222999871,None,329.4132513999939,None,329.4132513999939,None,329.4132513999939,None,331.2418088199862,None,331.2418088199862,None,331.2418088199862,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,4,0,72,8,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,1.259233899996616,331.31193170000915,332.3643104000075,332.316702799988,None,331.31193170000915,None,331.31193170000915,None,331.31193170000915,None,333.5074833200139,None,333.5074833200139,None,333.5074833200139,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,1,j,l,,,,,,,,,4,1,73,6,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,negative,j,j,1,0.9440464999934193,333.5706848000118,334.63869059999706,334.5907062999904,None,333.5706848000118,None,333.5706848000118,None,333.5706848000118,None,335.4623120200064,None,335.4623120200064,None,335.4623120200064,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,,,,,4,2,74,17,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,l,l,1,0.8080767999927048,335.4951226999983,336.5464265999908,336.49737100000493,None,335.4951226999983,None,335.4951226999983,None,335.4951226999983,None,337.2622967100004,None,337.2622967100004,None,337.2622967100004,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,2,l,j,,,,,,,,,4,3,75,14,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,l,l,1,1.0243255000095814,337.30278080000426,338.3627412999922,338.3128781999985,None,337.30278080000426,None,337.30278080000426,None,337.30278080000426,None,339.30357933001363,None,339.30357933001363,None,339.30357933001363,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,,,,,4,4,76,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,0.9170859000005294,339.3769880000036,340.41516199999023,340.36770199998864,None,339.3769880000036,None,339.3769880000036,None,339.3769880000036,None,341.23403032001227,None,341.23403032001227,None,341.23403032001227,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,,,,,4,5,77,9,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.871899999998277,341.30765699999756,342.3470782999939,342.2989290000114,None,341.30765699999756,None,341.30765699999756,None,341.30765699999756,None,343.11651662000224,None,343.11651662000224,None,343.11651662000224,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,4,6,78,16,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,k,k,1,0.7926020000013523,343.1643119000073,344.2082334999868,344.1591945000109,None,343.1643119000073,None,343.1643119000073,None,343.1643119000073,None,344.91926051998746,None,344.91926051998746,None,344.91926051998746,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,,,,,4,7,79,7,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.7587679999996908,344.95025269998587,346.020936099987,345.9721368000028,None,344.95025269998587,None,344.95025269998587,None,344.95025269998587,None,346.6857601200114,None,346.6857601200114,None,346.6857601200114,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,4,8,80,0,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.8881508999911603,346.7147932999942,347.7504139000084,347.7504139000084,None,346.7147932999942,None,346.7147932999942,None,346.7147932999942,None,348.5778808199917,None,348.5778808199917,None,348.5778808199917,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,,,,,4,9,81,5,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,l,l,1,0.9575668000034057,348.6336916,349.69343789998675,349.6459718999977,None,348.6336916,None,348.6336916,None,348.6336916,None,350.5396827299905,None,350.5396827299905,None,350.5396827299905,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,2,k,k,,,,,,,,,4,10,82,13,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.8086813999980222,350.61251969999284,351.66238840000005,351.6148422000115,None,350.61251969999284,None,350.61251969999284,None,350.61251969999284,None,352.3559033200087,None,352.3559033200087,None,352.3559033200087,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,1,k,k,,,,,,,,,4,11,83,1,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.7163882000022568,352.40334150000126,353.46517609999864,353.42392169998493,None,352.40334150000126,None,352.40334150000126,None,352.40334150000126,None,354.08519701999614,None,354.08519701999614,None,354.08519701999614,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,,,,,4,12,84,4,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7261786999879405,354.1147813999851,355.1626379000081,355.1127221999923,None,354.1147813999851,None,354.1147813999851,None,354.1147813999851,None,355.816346729995,None,355.816346729995,None,355.816346729995,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,,,,,4,13,85,15,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.8779470000008587,355.89118219999364,356.94241650000913,356.89269079998485,None,355.89118219999364,None,355.89118219999364,None,355.89118219999364,None,357.7024253199867,None,357.7024253199867,None,357.7024253199867,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,1,l,j,,,,,,,,,4,14,86,2,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,l,l,1,0.9855819999938831,357.73908420000225,358.7924158000096,358.74457310000435,None,357.73908420000225,None,357.73908420000225,None,357.73908420000225,None,359.6993003199983,None,359.6993003199983,None,359.6993003199983,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,,,,,4,15,87,11,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,positive,l,l,1,1.0291864000028,359.72346619999735,360.7986608000065,360.75083989999257,None,359.72346619999735,None,359.72346619999735,None,359.72346619999735,None,361.732132629992,None,361.732132629992,None,361.732132629992,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,,,,,4,16,88,12,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,j,j,1,0.9638108000217471,361.80901950001135,362.87892369998735,362.82977320000646,None,361.80901950001135,None,361.80901950001135,None,361.80901950001135,None,363.71271562998885,None,363.71271562998885,None,363.71271562998885,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,2,k,k,,,,,,,,,4,17,89,10,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.7778866000007838,363.7750951999915,364.81500949998735,364.7657918999903,None,363.7750951999915,None,363.7750951999915,None,363.7750951999915,None,365.503030230006,None,365.503030230006,None,365.503030230006,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,5,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,j,j,1,0.8163417000032496,365.58162360001006,366.6331074000045,366.58471100000315,None,365.58162360001006,None,365.58162360001006,None,365.58162360001006,None,367.3327565200103,None,367.3327565200103,None,367.3327565200103,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,,,,,5,1,91,4,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,0.7552972999983467,367.36122240000986,368.42538760000025,368.37417039999855,None,367.36122240000986,None,367.36122240000986,None,367.36122240000986,None,369.0916467200092,None,369.0916467200092,None,369.0916467200092,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,5,2,92,16,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.7970046999980696,369.12475919999997,370.20058880001307,370.15238029998727,None,369.12475919999997,None,369.12475919999997,None,369.12475919999997,None,370.8831575199962,None,370.8831575199962,None,370.8831575199962,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,2,k,k,,,,,,,,,5,3,93,13,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.8346114000014495,370.9661349999951,372.02511650000815,371.9757740999921,None,370.9661349999951,None,370.9661349999951,None,370.9661349999951,None,372.7361085299985,None,372.7361085299985,None,372.7361085299985,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,,,,,5,4,94,7,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.7594000000099186,372.8128047999926,373.86787889999687,373.8200511999894,None,372.8128047999926,None,372.8128047999926,None,372.8128047999926,None,374.4999532200105,None,374.4999532200105,None,374.4999532200105,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,1,k,k,,,,,,,,,5,5,95,1,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.6961543000070378,374.5776929999993,375.614253000007,375.56727339999634,None,374.5776929999993,None,374.5776929999993,None,374.5776929999993,None,376.2209824199905,None,376.2209824199905,None,376.2209824199905,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,,,,,5,6,96,11,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,l,l,1,1.0168320999946445,376.25677770000766,377.2992392999877,377.2498359000019,None,376.25677770000766,None,376.25677770000766,None,376.25677770000766,None,378.2430377299956,None,378.2430377299956,None,378.2430377299956,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,1,j,l,,,,,,,,,5,7,97,6,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,negative,j,j,1,0.882100899994839,378.3153852999967,379.366603500006,379.3195393999922,None,378.3153852999967,None,378.3153852999967,None,378.3153852999967,None,380.1390192200139,None,380.1390192200139,None,380.1390192200139,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,1,l,j,,,,,,,,,5,8,98,2,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,l,j,0,0.8614219000155572,380.1928178000089,381.2326941000065,381.18540550000034,None,380.1928178000089,None,380.1928178000089,None,380.1928178000089,None,382.00760979999905,None,382.00760979999905,None,382.00760979999905,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,5,9,99,8,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,1.0565786999941338,383.0908047000121,384.1261187999917,384.0758188999898,None,383.0908047000121,None,383.0908047000121,None,383.0908047000121,None,385.07857382000077,None,385.07857382000077,None,385.07857382000077,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,2,l,j,,,,,,,,,5,10,100,14,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,l,l,1,0.9320731000043452,385.16600259998813,386.2346733000013,386.14339320000727,None,385.16600259998813,None,385.16600259998813,None,385.16600259998813,None,387.0289834199881,None,387.0289834199881,None,387.0289834199881,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,,,,,5,11,101,9,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,j,j,1,0.9082252999942284,387.0782476000022,388.1117885999847,388.1117885999847,None,387.0782476000022,None,387.0782476000022,None,387.0782476000022,None,388.94789092000576,None,388.94789092000576,None,388.94789092000576,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,,,,,5,12,102,12,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,j,j,1,0.8177471999952104,388.9767267999996,390.0102273999946,389.9671679000021,None,388.9767267999996,None,388.9767267999996,None,388.9767267999996,None,390.75771441999825,None,390.75771441999825,None,390.75771441999825,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,,,,,5,13,103,3,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,j,j,1,0.8574890999880154,390.83006579999346,391.9001067999925,391.8536594999896,None,390.83006579999346,None,390.83006579999346,None,390.83006579999346,None,392.63620323001527,None,392.63620323001527,None,392.63620323001527,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,,,,,5,14,104,15,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.7196504000166897,392.70499880000716,393.7817958999949,393.73268929999904,None,392.70499880000716,None,392.70499880000716,None,392.70499880000716,None,394.3680222199997,None,394.3680222199997,None,394.3680222199997,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,,,,,5,15,105,17,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,l,l,1,0.8851602000067942,394.3994120999996,395.4658647000033,395.4138702999917,None,394.3994120999996,None,394.3994120999996,None,394.3994120999996,None,396.2463508100016,None,396.2463508100016,None,396.2463508100016,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,,,,,5,16,106,5,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,positive,l,l,1,0.9156378000043333,396.2802151000069,397.30410629999824,397.27280350000365,None,396.2802151000069,None,396.2802151000069,None,396.2802151000069,None,398.1660200099985,None,398.1660200099985,None,398.1660200099985,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,2,k,k,,,,,,,,,5,17,107,10,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.8087585000030231,398.1975361999939,399.239013399987,399.239013399987,None,398.1975361999939,None,398.1975361999939,None,398.1975361999939,None,399.98625512001456,None,399.98625512001456,None,399.98625512001456,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,1,k,k,,,,,,,,,6,0,108,1,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.7757759000232909,400.03537090000464,401.0840190000017,401.04009359999327,None,400.03537090000464,None,400.03537090000464,None,400.03537090000464,None,401.7632733099861,None,401.7632733099861,None,401.7632733099861,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,6,1,109,0,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,j,j,1,0.7186592000070959,401.79636129998835,402.8317290999985,402.80303929999354,None,401.79636129998835,None,401.79636129998835,None,401.79636129998835,None,403.48728360999377,None,403.48728360999377,None,403.48728360999377,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,2,l,j,,,,,,,,,6,2,110,14,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,l,l,1,0.7437019999779295,403.51547710000887,404.53176990000065,404.50320909998845,None,403.51547710000887,None,403.51547710000887,None,403.51547710000887,None,405.24506611999243,None,405.24506611999243,None,405.24506611999243,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,1,j,l,,,,,,,,,6,3,111,6,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,j,j,1,1.0890954999777023,405.2806554999843,406.342942999996,406.3001113999926,None,405.2806554999843,None,405.2806554999843,None,405.2806554999843,None,407.33989673000764,None,407.33989673000764,None,407.33989673000764,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,2,k,k,,,,,,,,,6,4,112,10,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.7231450999970548,407.4117678999901,408.4584718999977,408.40966949998983,None,407.4117678999901,None,407.4117678999901,None,407.4117678999901,None,409.0745490200003,None,409.0745490200003,None,409.0745490200003,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,,,,,6,5,113,15,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,negative,j,j,1,0.8409495999803767,409.1128572000016,410.18282680000993,410.1339568000112,None,409.1128572000016,None,409.1128572000016,None,409.1128572000016,None,410.9222741200007,None,410.9222741200007,None,410.9222741200007,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,,,,,6,6,114,4,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,0.8460730999941006,410.9779212999856,412.05442629999015,412.0073781000101,None,410.9779212999856,None,410.9779212999856,None,410.9779212999856,None,412.7757954200148,None,412.7757954200148,None,412.7757954200148,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,,,,,6,7,115,9,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,j,j,1,0.8637325000017881,412.81079200000386,413.8832843999844,413.8333595999866,None,412.81079200000386,None,412.81079200000386,None,412.81079200000386,None,414.6458317199955,None,414.6458317199955,None,414.6458317199955,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,,,,,6,8,116,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,1.1204598999756854,414.68459180000355,415.701751399989,415.6688804999867,None,414.68459180000355,None,414.68459180000355,None,414.68459180000355,None,416.7724912200007,None,416.7724912200007,None,416.7724912200007,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,6,9,117,8,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,l,l,1,0.8579657999798656,416.80312699999195,417.8489414000069,417.79807640000945,None,416.80312699999195,None,416.80312699999195,None,416.80312699999195,None,418.6382979199931,None,418.6382979199931,None,418.6382979199931,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,2,k,k,,,,,,,,,6,10,118,13,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.7303375999908894,418.6783415999962,419.73331869998947,419.685682499985,None,418.6783415999962,None,418.6783415999962,None,418.6783415999962,None,420.3605446099944,None,420.3605446099944,None,420.3605446099944,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,,,,,6,11,119,5,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,l,l,1,0.7880470000091009,420.40231490001315,421.45647189999,421.4075895000133,None,420.40231490001315,None,420.40231490001315,None,420.40231490001315,None,422.1528164100135,None,422.1528164100135,None,422.1528164100135,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,,,,,6,12,120,17,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,l,l,1,0.8582935000013094,422.19873939998797,423.23614090000046,423.1864162000129,None,422.19873939998797,None,422.19873939998797,None,422.19873939998797,None,424.0161437099858,None,424.0161437099858,None,424.0161437099858,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,,,,,6,13,121,11,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.7762509000021964,424.06249059998663,425.1230005999969,425.0732643000083,None,424.06249059998663,None,424.06249059998663,None,424.06249059998663,None,425.8132356200018,None,425.8132356200018,None,425.8132356200018,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,6,14,122,16,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,k,k,1,0.7987904000037815,425.8429177000071,426.88330469999346,426.83519380001235,None,425.8429177000071,None,425.8429177000071,None,425.8429177000071,None,427.6180020300148,None,427.6180020300148,None,427.6180020300148,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,,,,,6,15,123,12,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,j,j,1,0.9347385999863036,427.68654600001173,428.7343936999969,428.6858430999855,None,427.68654600001173,None,427.68654600001173,None,427.68654600001173,None,429.5607831300062,None,429.5607831300062,None,429.5607831300062,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,1,l,j,,,,,,,,,6,16,124,2,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,l,j,0,0.7617185999988578,429.61750019999454,430.67173780000303,430.6246945000021,None,429.61750019999454,None,429.61750019999454,None,429.61750019999454,None,431.3379658999911,None,431.3379658999911,None,431.3379658999911,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,,,,,6,17,125,7,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,1.4561906000017188,432.41458139999304,433.4585309000104,433.40934139999445,None,432.41458139999304,None,432.41458139999304,None,432.41458139999304,None,434.8000836200023,None,434.8000836200023,None,434.8000836200023,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,2,l,j,,,,,,,,,7,0,126,14,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,l,l,1,1.0589145999983884,434.8802464999899,435.94968329998665,435.90180369999143,None,434.8802464999899,None,434.8802464999899,None,434.8802464999899,None,436.8702713200124,None,436.8702713200124,None,436.8702713200124,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,,,,,7,1,127,9,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,j,j,1,0.865709900012007,436.9395421000081,438.0141686999996,437.9662864000129,None,436.9395421000081,None,436.9395421000081,None,436.9395421000081,None,438.75438921999887,None,438.75438921999887,None,438.75438921999887,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
